,n_sim,Equipo,Desc,Motivo
546,183,Coquimbo Unido,1,Último Absoluta
547,183,Iquique,2,Último Ponderada
548,183,Colo-Colo,3,Partido Ant Abs vs Pen Pon
549,184,Coquimbo Unido,1,Último Absoluta
550,184,Iquique,2,Último Ponderada
551,184,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
552,185,Coquimbo Unido,1,Último Absoluta
553,185,Iquique,2,Último Ponderada
554,185,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
555,186,Iquique,1,Último Absoluta
556,186,Universidad de Concepción,2,Penúltimo Ponderada
557,186,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
558,187,Iquique,1,Último Absoluta
559,187,Universidad de Concepción,2,Penúltimo Ponderada
560,187,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
561,188,Coquimbo Unido,1,Último Absoluta
562,188,Iquique,2,Último Ponderada
563,188,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
564,189,Coquimbo Unido,1,Último Absoluta
565,189,Iquique,2,Último Ponderada
566,189,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
567,190,Coquimbo Unido,1,Último Absoluta
568,190,Iquique,2,Último Ponderada
569,190,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
570,191,Iquique,1,Último Absoluta
571,191,Universidad de Concepción,2,Penúltimo Ponderada
572,191,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
573,192,Coquimbo Unido,1,Último Absoluta
574,192,Iquique,2,Último Ponderada
575,192,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
576,193,Coquimbo Unido,1,Último Absoluta
577,193,Iquique,2,Último Ponderada
578,193,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
579,194,Coquimbo Unido,1,Último Absoluta
580,194,Iquique,2,Último Ponderada
581,194,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
582,195,Coquimbo Unido,1,Último Absoluta
583,195,Iquique,2,Último Ponderada
584,195,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
585,196,Coquimbo Unido,1,Último Absoluta
586,196,Iquique,2,Último Ponderada
587,196,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
588,197,Coquimbo Unido,1,Último Absoluta
589,197,Iquique,2,Último Ponderada
590,197,Audax Italiano,3,Partido Pen Abs vs Pen Pon
591,198,Iquique,1,Último Absoluta
592,198,Universidad de Concepción,2,Penúltimo Ponderada
593,198,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
594,199,Iquique,1,Último Absoluta
595,199,Universidad de Concepción,2,Penúltimo Ponderada
596,199,La Serena,3,Partido Pen Abs vs Ant Pon
597,200,Iquique,1,Último Absoluta
598,200,Universidad de Concepción,2,Penúltimo Ponderada
599,200,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
600,201,Coquimbo Unido,1,Último Absoluta
601,201,Iquique,2,Último Ponderada
602,201,La Serena,3,Partido Ant Abs vs Pen Pon
603,202,Coquimbo Unido,1,Último Absoluta
604,202,Iquique,2,Último Ponderada
605,202,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
606,203,Coquimbo Unido,1,Último Absoluta
607,203,Iquique,2,Último Ponderada
608,203,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
609,204,Coquimbo Unido,1,Último Absoluta
610,204,Iquique,2,Último Ponderada
611,204,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
612,205,Iquique,1,Último Absoluta
613,205,Universidad de Concepción,2,Penúltimo Ponderada
614,205,Colo-Colo,3,Partido Pen Abs vs Ant Pon
615,206,Coquimbo Unido,1,Último Absoluta
616,206,Iquique,2,Último Ponderada
617,206,Audax Italiano,3,Partido Ant Abs vs Pen Pon
618,207,Coquimbo Unido,1,Último Absoluta
619,207,Iquique,2,Último Ponderada
620,207,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
621,208,Coquimbo Unido,1,Último Absoluta
622,208,Iquique,2,Último Ponderada
623,208,Colo-Colo,3,Partido Ant Abs vs Pen Pon
624,209,Iquique,1,Último Absoluta
625,209,Curicó Unido,2,Penúltimo Ponderada
626,209,Universidad de Concepción,3,Partido Pen Abs vs Ant Pon
627,210,Iquique,1,Último Absoluta
628,210,Universidad de Concepción,2,Penúltimo Ponderada
629,210,La Serena,3,Partido Pen Abs vs Ant Pon
630,211,Iquique,1,Último Absoluta
631,211,Universidad de Concepción,2,Penúltimo Ponderada
632,211,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
633,212,Coquimbo Unido,1,Último Absoluta
634,212,Iquique,2,Último Ponderada
635,212,La Serena,3,Partido Ant Abs vs Pen Pon
636,213,Coquimbo Unido,1,Último Absoluta
637,213,Iquique,2,Último Ponderada
638,213,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
639,214,Coquimbo Unido,1,Último Absoluta
640,214,Iquique,2,Último Ponderada
641,214,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
642,215,Iquique,1,Último Absoluta
643,215,Universidad de Concepción,2,Penúltimo Ponderada
644,215,Curicó Unido,3,Partido Pen Abs vs Ant Pon
645,216,Coquimbo Unido,1,Último Absoluta
646,216,Iquique,2,Último Ponderada
647,216,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
648,217,Iquique,1,Último Absoluta
649,217,Universidad de Concepción,2,Penúltimo Ponderada
650,217,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
651,218,Iquique,1,Último Absoluta
652,218,Universidad de Concepción,2,Penúltimo Ponderada
653,218,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
654,219,Coquimbo Unido,1,Último Absoluta
655,219,Iquique,2,Último Ponderada
656,219,Colo-Colo,3,Partido Pen Abs vs Pen Pon
657,220,Coquimbo Unido,1,Último Absoluta
658,220,Iquique,2,Último Ponderada
659,220,Colo-Colo,3,Partido Ant Abs vs Pen Pon
660,221,Coquimbo Unido,1,Último Absoluta
661,221,Iquique,2,Último Ponderada
662,221,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
663,222,Coquimbo Unido,1,Último Absoluta
664,222,Iquique,2,Último Ponderada
665,222,Colo-Colo,3,Partido Ant Abs vs Pen Pon
666,223,Coquimbo Unido,1,Último Absoluta
667,223,Iquique,2,Último Ponderada
668,223,Colo-Colo,3,Partido Ant Abs vs Pen Pon
669,224,Iquique,1,Último Absoluta
670,224,Universidad de Concepción,2,Penúltimo Ponderada
671,224,Coquimbo Unido,3,Partido Ant Abs vs Ant Pon
672,225,Coquimbo Unido,1,Último Absoluta
673,225,Iquique,2,Último Ponderada
674,225,Curicó Unido,3,Partido Ant Abs vs Pen Pon
675,226,Coquimbo Unido,1,Último Absoluta
676,226,Iquique,2,Último Ponderada
677,226,Colo-Colo,3,Partido Ant Abs vs Pen Pon
678,227,Coquimbo Unido,1,Último Absoluta
679,227,Iquique,2,Último Ponderada
680,227,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
681,228,Iquique,1,Último Absoluta
682,228,Universidad de Concepción,2,Penúltimo Ponderada
683,228,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
684,229,Coquimbo Unido,1,Último Absoluta
685,229,Iquique,2,Último Ponderada
686,229,Audax Italiano,3,Partido Pen Abs vs Pen Pon
687,230,Coquimbo Unido,1,Último Absoluta
688,230,Iquique,2,Último Ponderada
689,230,Colo-Colo,3,Partido Ant Abs vs Pen Pon
690,231,Coquimbo Unido,1,Último Absoluta
691,231,Iquique,2,Último Ponderada
692,231,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
693,232,Coquimbo Unido,1,Último Absoluta
694,232,Iquique,2,Último Ponderada
695,232,Universidad de Chile,3,Partido Ant Abs vs Pen Pon
696,233,Coquimbo Unido,1,Último Absoluta
697,233,Iquique,2,Último Ponderada
698,233,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
699,234,Iquique,1,Último Absoluta
700,234,Universidad de Concepción,2,Penúltimo Ponderada
701,234,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
702,235,Iquique,1,Último Absoluta
703,235,Universidad de Concepción,2,Penúltimo Ponderada
704,235,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
705,236,Iquique,1,Último Absoluta
706,236,Universidad de Concepción,2,Penúltimo Ponderada
707,236,Curicó Unido,3,Partido Pen Abs vs Ant Pon
708,237,Coquimbo Unido,1,Último Absoluta
709,237,Universidad de Concepción,2,Último Ponderada
710,237,Iquique,3,Partido Pen Abs vs Pen Pon
711,238,Coquimbo Unido,1,Último Absoluta
712,238,Iquique,2,Último Ponderada
713,238,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
714,239,Coquimbo Unido,1,Último Absoluta
715,239,Iquique,2,Último Ponderada
716,239,Audax Italiano,3,Partido Ant Abs vs Pen Pon
717,240,Coquimbo Unido,1,Último Absoluta
718,240,Iquique,2,Último Ponderada
719,240,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
720,241,Coquimbo Unido,1,Último Absoluta
721,241,Iquique,2,Último Ponderada
722,241,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
723,242,Coquimbo Unido,1,Último Absoluta
724,242,Iquique,2,Último Ponderada
725,242,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
726,243,Coquimbo Unido,1,Último Absoluta
727,243,Iquique,2,Último Ponderada
728,243,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
729,244,Coquimbo Unido,1,Último Absoluta
730,244,Iquique,2,Último Ponderada
731,244,Colo-Colo,3,Partido Pen Abs vs Pen Pon
732,245,Coquimbo Unido,1,Último Absoluta
733,245,Iquique,2,Último Ponderada
734,245,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
735,246,Iquique,1,Último Absoluta
736,246,Universidad de Concepción,2,Penúltimo Ponderada
737,246,Curicó Unido,3,Partido Pen Abs vs Ant Pon
738,247,Coquimbo Unido,1,Último Absoluta
739,247,Iquique,2,Último Ponderada
740,247,Colo-Colo,3,Partido Ant Abs vs Pen Pon
741,248,Colo-Colo,1,Último Absoluta
742,248,Iquique,2,Último Ponderada
743,248,La Serena,3,Partido Ant Abs vs Pen Pon
744,249,Iquique,1,Último Absoluta
745,249,Universidad de Concepción,2,Penúltimo Ponderada
746,249,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
747,250,Coquimbo Unido,1,Último Absoluta
748,250,Iquique,2,Último Ponderada
749,250,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
750,251,Iquique,1,Último Absoluta
751,251,Universidad de Concepción,2,Penúltimo Ponderada
752,251,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
753,252,Coquimbo Unido,1,Último Absoluta
754,252,Iquique,2,Último Ponderada
755,252,Colo-Colo,3,Partido Ant Abs vs Pen Pon
756,253,Coquimbo Unido,1,Último Absoluta
757,253,Iquique,2,Último Ponderada
758,253,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
759,254,Iquique,1,Último Absoluta
760,254,Universidad de Concepción,2,Penúltimo Ponderada
761,254,Curicó Unido,3,Partido Pen Abs vs Ant Pon
762,255,Coquimbo Unido,1,Último Absoluta
763,255,Iquique,2,Último Ponderada
764,255,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
765,256,Iquique,1,Último Absoluta
766,256,Universidad de Concepción,2,Penúltimo Ponderada
767,256,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
768,257,Coquimbo Unido,1,Último Absoluta
769,257,Universidad de Concepción,2,Último Ponderada
770,257,Audax Italiano,3,Partido Pen Abs vs Pen Pon
771,258,Coquimbo Unido,1,Último Absoluta
772,258,Iquique,2,Último Ponderada
773,258,Colo-Colo,3,Partido Ant Abs vs Pen Pon
774,259,Coquimbo Unido,1,Último Absoluta
775,259,Iquique,2,Último Ponderada
776,259,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
777,260,Coquimbo Unido,1,Último Absoluta
778,260,Iquique,2,Último Ponderada
779,260,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
780,261,Iquique,1,Último Absoluta
781,261,Universidad de Concepción,2,Penúltimo Ponderada
782,261,La Serena,3,Partido Ant Abs vs Ant Pon
783,262,Coquimbo Unido,1,Último Absoluta
784,262,Iquique,2,Último Ponderada
785,262,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
786,263,Iquique,1,Último Absoluta
787,263,Universidad de Concepción,2,Penúltimo Ponderada
788,263,Curicó Unido,3,Partido Pen Abs vs Ant Pon
789,264,Coquimbo Unido,1,Último Absoluta
790,264,Universidad de Concepción,2,Último Ponderada
791,264,Iquique,3,Partido Pen Abs vs Pen Pon
792,265,Coquimbo Unido,1,Último Absoluta
793,265,Iquique,2,Último Ponderada
794,265,Audax Italiano,3,Partido Pen Abs vs Pen Pon
795,266,Iquique,1,Último Absoluta
796,266,Universidad de Concepción,2,Penúltimo Ponderada
797,266,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
798,267,Coquimbo Unido,1,Último Absoluta
799,267,Iquique,2,Último Ponderada
800,267,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
801,268,Iquique,1,Último Absoluta
802,268,Universidad de Concepción,2,Penúltimo Ponderada
803,268,Curicó Unido,3,Partido Pen Abs vs Ant Pon
804,269,Coquimbo Unido,1,Último Absoluta
805,269,Iquique,2,Último Ponderada
806,269,Colo-Colo,3,Partido Pen Abs vs Pen Pon
807,270,Coquimbo Unido,1,Último Absoluta
808,270,Iquique,2,Último Ponderada
809,270,Colo-Colo,3,Partido Ant Abs vs Pen Pon
810,271,Audax Italiano,1,Último Absoluta
811,271,Iquique,2,Último Ponderada
812,271,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
813,272,Coquimbo Unido,1,Último Absoluta
814,272,Iquique,2,Último Ponderada
815,272,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
816,273,Coquimbo Unido,1,Último Absoluta
817,273,Iquique,2,Último Ponderada
818,273,Audax Italiano,3,Partido Pen Abs vs Pen Pon
819,274,Coquimbo Unido,1,Último Absoluta
820,274,Iquique,2,Último Ponderada
821,274,La Serena,3,Partido Pen Abs vs Pen Pon
822,275,Iquique,1,Último Absoluta
823,275,Universidad de Concepción,2,Penúltimo Ponderada
824,275,Universidad de Chile,3,Partido Ant Abs vs Ant Pon
825,276,La Serena,1,Último Absoluta
826,276,Iquique,2,Último Ponderada
827,276,Coquimbo Unido,3,Partido Pen Abs vs Pen Pon
828,277,Coquimbo Unido,1,Último Absoluta
829,277,Iquique,2,Último Ponderada
830,277,Colo-Colo,3,Partido Pen Abs vs Pen Pon
831,278,Coquimbo Unido,1,Último Absoluta
832,278,Iquique,2,Último Ponderada
833,278,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
834,279,Coquimbo Unido,1,Último Absoluta
835,279,Iquique,2,Último Ponderada
836,279,Colo-Colo,3,Partido Ant Abs vs Pen Pon
837,280,Coquimbo Unido,1,Último Absoluta
838,280,Iquique,2,Último Ponderada
839,280,Audax Italiano,3,Partido Ant Abs vs Pen Pon
840,281,Iquique,1,Último Absoluta
841,281,Universidad de Concepción,2,Penúltimo Ponderada
842,281,Coquimbo Unido,3,Partido Ant Abs vs Ant Pon
843,282,Coquimbo Unido,1,Último Absoluta
844,282,Iquique,2,Último Ponderada
845,282,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
846,283,Coquimbo Unido,1,Último Absoluta
847,283,Iquique,2,Último Ponderada
848,283,Colo-Colo,3,Partido Ant Abs vs Pen Pon
849,284,Colo-Colo,1,Último Absoluta
850,284,Iquique,2,Último Ponderada
851,284,Universidad de Chile,3,Partido Pen Abs vs Pen Pon
852,285,Coquimbo Unido,1,Último Absoluta
853,285,Iquique,2,Último Ponderada
854,285,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
855,286,Coquimbo Unido,1,Último Absoluta
856,286,Iquique,2,Último Ponderada
857,286,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
858,287,Iquique,1,Último Absoluta
859,287,Universidad de Concepción,2,Penúltimo Ponderada
860,287,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
861,288,Coquimbo Unido,1,Último Absoluta
862,288,Iquique,2,Último Ponderada
863,288,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
864,289,Iquique,1,Último Absoluta
865,289,Universidad de Concepción,2,Penúltimo Ponderada
866,289,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
867,290,Coquimbo Unido,1,Último Absoluta
868,290,Iquique,2,Último Ponderada
869,290,Audax Italiano,3,Partido Ant Abs vs Pen Pon
870,291,Coquimbo Unido,1,Último Absoluta
871,291,Iquique,2,Último Ponderada
872,291,Colo-Colo,3,Partido Pen Abs vs Pen Pon
873,292,Iquique,1,Último Absoluta
874,292,Universidad de Concepción,2,Penúltimo Ponderada
875,292,Curicó Unido,3,Partido Pen Abs vs Ant Pon
876,293,Coquimbo Unido,1,Último Absoluta
877,293,Iquique,2,Último Ponderada
878,293,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
879,294,Iquique,1,Último Absoluta
880,294,Universidad de Concepción,2,Penúltimo Ponderada
881,294,Curicó Unido,3,Partido Pen Abs vs Ant Pon
882,295,Coquimbo Unido,1,Último Absoluta
883,295,Iquique,2,Último Ponderada
884,295,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
885,296,Coquimbo Unido,1,Último Absoluta
886,296,Iquique,2,Último Ponderada
887,296,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
888,297,Coquimbo Unido,1,Último Absoluta
889,297,Iquique,2,Último Ponderada
890,297,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
891,298,Coquimbo Unido,1,Último Absoluta
892,298,Iquique,2,Último Ponderada
893,298,Colo-Colo,3,Partido Ant Abs vs Pen Pon
894,299,Coquimbo Unido,1,Último Absoluta
895,299,Iquique,2,Último Ponderada
896,299,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
897,300,Iquique,1,Último Absoluta
898,300,Universidad de Concepción,2,Penúltimo Ponderada
899,300,Curicó Unido,3,Partido Pen Abs vs Ant Pon
900,301,Coquimbo Unido,1,Último Absoluta
901,301,Iquique,2,Último Ponderada
902,301,Colo-Colo,3,Partido Ant Abs vs Pen Pon
903,302,Coquimbo Unido,1,Último Absoluta
904,302,Iquique,2,Último Ponderada
905,302,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
906,303,Coquimbo Unido,1,Último Absoluta
907,303,Universidad de Concepción,2,Último Ponderada
908,303,Iquique,3,Partido Pen Abs vs Pen Pon
909,304,Coquimbo Unido,1,Último Absoluta
910,304,Iquique,2,Último Ponderada
911,304,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
912,305,Coquimbo Unido,1,Último Absoluta
913,305,Iquique,2,Último Ponderada
914,305,Colo-Colo,3,Partido Ant Abs vs Pen Pon
915,306,Colo-Colo,1,Último Absoluta
916,306,Iquique,2,Último Ponderada
917,306,Coquimbo Unido,3,Partido Ant Abs vs Pen Pon
918,307,Coquimbo Unido,1,Último Absoluta
919,307,Iquique,2,Último Ponderada
920,307,Colo-Colo,3,Partido Ant Abs vs Pen Pon
921,308,Coquimbo Unido,1,Último Absoluta
922,308,Iquique,2,Último Ponderada
923,308,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
924,309,Coquimbo Unido,1,Último Absoluta
925,309,Iquique,2,Último Ponderada
926,309,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
927,310,Iquique,1,Último Absoluta
928,310,Universidad de Concepción,2,Penúltimo Ponderada
929,310,Curicó Unido,3,Partido Pen Abs vs Ant Pon
930,311,Coquimbo Unido,1,Último Absoluta
931,311,Iquique,2,Último Ponderada
932,311,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
933,312,Iquique,1,Último Absoluta
934,312,Universidad de Concepción,2,Penúltimo Ponderada
935,312,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
936,313,Coquimbo Unido,1,Último Absoluta
937,313,Iquique,2,Último Ponderada
938,313,Colo-Colo,3,Partido Ant Abs vs Pen Pon
939,314,Iquique,1,Último Absoluta
940,314,Universidad de Concepción,2,Penúltimo Ponderada
941,314,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
942,315,Coquimbo Unido,1,Último Absoluta
943,315,Iquique,2,Último Ponderada
944,315,Colo-Colo,3,Partido Ant Abs vs Pen Pon
945,316,Coquimbo Unido,1,Último Absoluta
946,316,Iquique,2,Último Ponderada
947,316,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
948,317,Coquimbo Unido,1,Último Absoluta
949,317,Iquique,2,Último Ponderada
950,317,Colo-Colo,3,Partido Ant Abs vs Pen Pon
951,318,Coquimbo Unido,1,Último Absoluta
952,318,Iquique,2,Último Ponderada
953,318,Audax Italiano,3,Partido Ant Abs vs Pen Pon
954,319,Iquique,1,Último Absoluta
955,319,Universidad de Concepción,2,Penúltimo Ponderada
956,319,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
957,320,Iquique,1,Último Absoluta
958,320,Universidad de Concepción,2,Penúltimo Ponderada
959,320,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
960,321,Coquimbo Unido,1,Último Absoluta
961,321,Iquique,2,Último Ponderada
962,321,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
963,322,Iquique,1,Último Absoluta
964,322,Universidad de Concepción,2,Penúltimo Ponderada
965,322,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
966,323,Coquimbo Unido,1,Último Absoluta
967,323,Iquique,2,Último Ponderada
968,323,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
969,324,Iquique,1,Último Absoluta
970,324,Universidad de Concepción,2,Penúltimo Ponderada
971,324,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
972,325,Coquimbo Unido,1,Último Absoluta
973,325,Iquique,2,Último Ponderada
974,325,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
975,326,Coquimbo Unido,1,Último Absoluta
976,326,Iquique,2,Último Ponderada
977,326,La Serena,3,Partido Ant Abs vs Pen Pon
978,327,Iquique,1,Último Absoluta
979,327,Universidad de Concepción,2,Penúltimo Ponderada
980,327,Curicó Unido,3,Partido Pen Abs vs Ant Pon
981,328,Coquimbo Unido,1,Último Absoluta
982,328,Iquique,2,Último Ponderada
983,328,Audax Italiano,3,Partido Ant Abs vs Pen Pon
984,329,Coquimbo Unido,1,Último Absoluta
985,329,Iquique,2,Último Ponderada
986,329,Colo-Colo,3,Partido Pen Abs vs Pen Pon
987,330,Coquimbo Unido,1,Último Absoluta
988,330,Iquique,2,Último Ponderada
989,330,Colo-Colo,3,Partido Pen Abs vs Pen Pon
990,331,Coquimbo Unido,1,Último Absoluta
991,331,Iquique,2,Último Ponderada
992,331,Colo-Colo,3,Partido Ant Abs vs Pen Pon
993,332,Iquique,1,Último Absoluta
994,332,Universidad de Concepción,2,Penúltimo Ponderada
995,332,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
996,333,Iquique,1,Último Absoluta
997,333,Universidad de Concepción,2,Penúltimo Ponderada
998,333,Curicó Unido,3,Partido Pen Abs vs Ant Pon
999,334,Coquimbo Unido,1,Último Absoluta
1000,334,Iquique,2,Último Ponderada
1001,334,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
1002,335,Coquimbo Unido,1,Último Absoluta
1003,335,Iquique,2,Último Ponderada
1004,335,Colo-Colo,3,Partido Ant Abs vs Pen Pon
1005,336,Coquimbo Unido,1,Último Absoluta
1006,336,Iquique,2,Último Ponderada
1007,336,Audax Italiano,3,Partido Ant Abs vs Pen Pon
1008,337,Coquimbo Unido,1,Último Absoluta
1009,337,Iquique,2,Último Ponderada
1010,337,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
1011,338,Coquimbo Unido,1,Último Absoluta
1012,338,Iquique,2,Último Ponderada
1013,338,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
1014,339,Coquimbo Unido,1,Último Absoluta
1015,339,Iquique,2,Último Ponderada
1016,339,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
1017,340,Coquimbo Unido,1,Último Absoluta
1018,340,Iquique,2,Último Ponderada
1019,340,La Serena,3,Partido Ant Abs vs Pen Pon
1020,341,Iquique,1,Último Absoluta
1021,341,Universidad de Concepción,2,Penúltimo Ponderada
1022,341,Curicó Unido,3,Partido Pen Abs vs Ant Pon
1023,342,Coquimbo Unido,1,Último Absoluta
1024,342,Iquique,2,Último Ponderada
1025,342,Colo-Colo,3,Partido Pen Abs vs Pen Pon
1026,343,Colo-Colo,1,Último Absoluta
1027,343,Iquique,2,Último Ponderada
1028,343,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
1029,344,Iquique,1,Último Absoluta
1030,344,Universidad de Concepción,2,Penúltimo Ponderada
1031,344,Curicó Unido,3,Partido Pen Abs vs Ant Pon
1032,345,Coquimbo Unido,1,Último Absoluta
1033,345,Iquique,2,Último Ponderada
1034,345,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
1035,346,Coquimbo Unido,1,Último Absoluta
1036,346,Iquique,2,Último Ponderada
1037,346,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
1038,347,Coquimbo Unido,1,Último Absoluta
1039,347,Iquique,2,Último Ponderada
1040,347,La Serena,3,Partido Ant Abs vs Pen Pon
1041,348,Colo-Colo,1,Último Absoluta
1042,348,Iquique,2,Último Ponderada
1043,348,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
1044,349,Coquimbo Unido,1,Último Absoluta
1045,349,Iquique,2,Último Ponderada
1046,349,Colo-Colo,3,Partido Ant Abs vs Pen Pon
1047,350,Coquimbo Unido,1,Último Absoluta
1048,350,Iquique,2,Último Ponderada
1049,350,Audax Italiano,3,Partido Pen Abs vs Pen Pon
1050,351,Coquimbo Unido,1,Último Absoluta
1051,351,Iquique,2,Último Ponderada
1052,351,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
1053,352,Iquique,1,Último Absoluta
1054,352,Universidad de Concepción,2,Penúltimo Ponderada
1055,352,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
1056,353,Coquimbo Unido,1,Último Absoluta
1057,353,Iquique,2,Último Ponderada
1058,353,La Serena,3,Partido Ant Abs vs Pen Pon
1059,354,Coquimbo Unido,1,Último Absoluta
1060,354,Iquique,2,Último Ponderada
1061,354,Colo-Colo,3,Partido Ant Abs vs Pen Pon
1062,355,Coquimbo Unido,1,Último Absoluta
1063,355,Iquique,2,Último Ponderada
1064,355,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
1065,356,Iquique,1,Último Absoluta
1066,356,Universidad de Concepción,2,Penúltimo Ponderada
1067,356,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
1068,357,Iquique,1,Último Absoluta
1069,357,Universidad de Concepción,2,Penúltimo Ponderada
1070,357,Universidad de Chile,3,Partido Pen Abs vs Ant Pon
1071,358,Coquimbo Unido,1,Último Absoluta
1072,358,Iquique,2,Último Ponderada
1073,358,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
1074,359,Coquimbo Unido,1,Último Absoluta
1075,359,Iquique,2,Último Ponderada
1076,359,Colo-Colo,3,Partido Pen Abs vs Pen Pon
1077,360,Coquimbo Unido,1,Último Absoluta
1078,360,Iquique,2,Último Ponderada
1079,360,Universidad de Concepción,3,Partido Pen Abs vs Pen Pon
1080,361,Coquimbo Unido,1,Último Absoluta
1081,361,Iquique,2,Último Ponderada
1082,361,Colo-Colo,3,Partido Pen Abs vs Pen Pon
1083,362,Colo-Colo,1,Último Absoluta
1084,362,Iquique,2,Último Ponderada
1085,362,La Serena,3,Partido Ant Abs vs Pen Pon
1086,363,Audax Italiano,1,Último Absoluta
1087,363,Iquique,2,Último Ponderada
